1497259960640921681	1497259960.64	0.329891250074	0.135193233964	
1497259960742125087	1497259960.74	0.326333827403	0.158158892222	
1497259960846862867	1497259960.85	0.321161211964	0.189108787932	
1497259960949540461	1497259960.95	0.317363785386	0.225145082803	
1497259966181683218	1497259966.18	"1/0"	"1/0"	"1/0"	"1/0"	0.535724657866	2.4538525521	
1497259966284193169	1497259966.28	"1/0"	"1/0"	"1/0"	"1/0"	0.50549818358	2.48655984964	
1497259966379902759	1497259966.38	"1/0"	"1/0"	"1/0"	"1/0"	0.478441364248	2.52808519308	
1497259966483998149	1497259966.48	"1/0"	"1/0"	"1/0"	"1/0"	0.456208833064	2.57237441426	
1497259966585284572	1497259966.59	"1/0"	"1/0"	"1/0"	"1/0"	0.439315760195	2.60941956186	
1497259966686576888	1497259966.69	"1/0"	"1/0"	"1/0"	"1/0"	0.418645045974	2.63976018005	
1497259966784078743	1497259966.78	"1/0"	"1/0"	"1/0"	"1/0"	0.394449043849	2.66452850832	
1497259966884960494	1497259966.88	"1/0"	"1/0"	"1/0"	"1/0"	0.358374148938	2.6896152227	
1497259966988069778	1497259966.99	"1/0"	"1/0"	"1/0"	"1/0"	0.317004166463	2.71708237833	
1497259967087895069	1497259967.09	"1/0"	"1/0"	"1/0"	"1/0"	0.280530892256	2.73472154073	
1497259967186077495	1497259967.19	"1/0"	"1/0"	"1/0"	"1/0"	0.244301567114	2.74551103907	
1497259967286981944	1497259967.29	"1/0"	"1/0"	"1/0"	"1/0"	0.206184912138	2.74874330556	
1497259967387623164	1497259967.39	"1/0"	"1/0"	"1/0"	"1/0"	0.162196700719	2.75213255028	
1497259967485210788	1497259967.49	"1/0"	"1/0"	"1/0"	"1/0"	0.116426147749	2.75676951427	
1497259967586831359	1497259967.59	"1/0"	"1/0"	"1/0"	"1/0"	0.0689946132043	2.7580309191	
1497259967689140973	1497259967.69	"1/0"	"1/0"	"1/0"	"1/0"	0.0285907293417	2.76337859394	
1497259967789924968	1497259967.79	"1/0"	"1/0"	"1/0"	"1/0"	-0.00115161648168	2.76497847515	
1497259967887536190	1497259967.89	"1/0"	"1/0"	"1/0"	"1/0"	-0.0340475900113	2.76162440362	
1497259967989809839	1497259967.99	"1/0"	"1/0"	"1/0"	"1/0"	-0.0668712633356	2.7612291625	
1497259968094805912	1497259968.09	"1/0"	"1/0"	"1/0"	"1/0"	-0.105729070719	2.7638105053	
1497259968192964190	1497259968.19	"1/0"	"1/0"	"1/0"	"1/0"	-0.141815684131	2.76666977782	
1497259968291678686	1497259968.29	"1/0"	"1/0"	"1/0"	"1/0"	-0.175273855312	2.77114295952	
1497259968392577940	1497259968.39	"1/0"	"1/0"	"1/0"	"1/0"	-0.212588175353	2.77376519129	
1497259968492823772	1497259968.49	"1/0"	"1/0"	"1/0"	"1/0"	-0.253058373788	2.77624920143	
1497259968597189080	1497259968.6	"1/0"	"1/0"	"1/0"	"1/0"	-0.295186626208	2.77548255506	
1497259968696302553	1497259968.7	"1/0"	"1/0"	"1/0"	"1/0"	-0.341491491155	2.77202496502	
1497259968797069710	1497259968.8	"1/0"	"1/0"	"1/0"	"1/0"	-0.377475909416	2.76749871597	
1497259968899202154	1497259968.9	"1/0"	"1/0"	"1/0"	"1/0"	-0.403634596859	2.75948418642	
1497259968999272961	1497259969.0	"1/0"	"1/0"	"1/0"	"1/0"	-0.428363646703	2.74671829194	
1497259969098880683	1497259969.1	"1/0"	"1/0"	"1/0"	"1/0"	-0.458246211391	2.73055988074	
1497259969200815882	1497259969.2	"1/0"	"1/0"	"1/0"	"1/0"	-0.490271320621	2.7216653653	
1497259969301634991	1497259969.3	"1/0"	"1/0"	"1/0"	"1/0"	-0.523147704183	2.7149697854	
1497259969401951561	1497259969.4	"1/0"	"1/0"	"1/0"	"1/0"	-0.554822452764	2.70833338167	
1497259969499680231	1497259969.5	"1/0"	"1/0"	"1/0"	"1/0"	-0.587642170659	2.70333621772	
1497259969600665214	1497259969.6	"1/0"	"1/0"	"1/0"	"1/0"	-0.626028281141	2.6927723968	
1497259969703112352	1497259969.7	"1/0"	"1/0"	"1/0"	"1/0"	-0.664777015773	2.67415737056	
1497259969804127298	1497259969.8	"1/0"	"1/0"	"1/0"	"1/0"	-0.703335381008	2.65231008575	
1497259969901933271	1497259969.9	"1/0"	"1/0"	"1/0"	"1/0"	-0.738253247747	2.63100663255	
1497259970004677200	1497259970.0	"1/0"	"1/0"	"1/0"	"1/0"	-0.760299796085	2.60793082093	
1497259970107515767	1497259970.11	"1/0"	"1/0"	"1/0"	"1/0"	-0.779774845895	2.58099439908	
1497259970205076779	1497259970.21	"1/0"	"1/0"	"1/0"	"1/0"	-0.793935500474	2.56029929149	
1497259970308641768	1497259970.31	"1/0"	"1/0"	"1/0"	"1/0"	-0.791998825694	2.50381677195	
1497259970409150703	1497259970.41	"1/0"	"1/0"	"1/0"	"1/0"	-0.797225668547	2.44474706042	
1497259970510706695	1497259970.51	"1/0"	"1/0"	"1/0"	"1/0"	-0.800258993646	2.39238381219	
1497259970609287547	1497259970.61	"1/0"	"1/0"	"1/0"	"1/0"	-0.803072716381	2.34026462952	
1497259970711595043	1497259970.71	"1/0"	"1/0"	"1/0"	"1/0"	-0.806124142412	2.2932122878	
1497259970810733128	1497259970.81	"1/0"	"1/0"	"1/0"	"1/0"	-0.80551612152	2.2483465638	
1497259970911500791	1497259970.91	"1/0"	"1/0"	"1/0"	"1/0"	-0.801456819292	2.21109918463	
1497259971010021949	1497259971.01	"1/0"	"1/0"	"1/0"	"1/0"	-0.798517627554	2.17942310175	
1497259971114149830	1497259971.11	"1/0"	"1/0"	"1/0"	"1/0"	-0.797575746337	2.14808318923	
1497259971213604675	1497259971.21	"1/0"	"1/0"	"1/0"	"1/0"	-0.801648486864	2.11270129776	
1497259971311756631	1497259971.31	"1/0"	"1/0"	"1/0"	"1/0"	-0.801000231267	2.06884419218	
