1497260567535983452	1497260567.54	0.283751875819	0.0531769709317	
1497260567637519335	1497260567.64	0.278259872506	0.057701711438	
1497260567739767071	1497260567.74	0.273681761466	0.0622205938808	
1497260567836298711	1497260567.84	0.271332224779	0.0662799818027	
1497260567936829266	1497260567.94	0.272321373129	0.0737686196003	
1497260568042166305	1497260568.04	0.275022897525	0.0882168704583	
1497260568138098418	1497260568.14	0.277736106858	0.11135195648	
1497260568238168061	1497260568.24	0.277299211798	0.14831985198	
1497260568336399419	1497260568.34	0.275967704694	0.190616297132	
1497260568441669391	1497260568.44	0.277327343421	0.236345222011	
1497260568539641633	1497260568.54	0.280109154352	0.282088638295	
1497260568643338882	1497260568.64	0.285334692087	0.321388387791	
1497260568744273811	1497260568.74	0.285334692087	0.321388387791	0.778209762092	0.578397068594	
1497260568843911274	1497260568.84	0.285334692087	0.321388387791	0.778261615608	0.621968057077	
1497260568943063222	1497260568.94	0.285334692087	0.321388387791	0.780526554319	0.671351422848	
1497260569040895881	1497260569.04	0.285334692087	0.321388387791	0.781241876131	0.727283304655	
1497260569145846822	1497260569.15	0.285334692087	0.321388387791	0.781193607672	0.784721329309	
1497260569244994297	1497260569.24	0.285334692087	0.321388387791	0.787027558353	0.840306701172	
1497260569341492657	1497260569.34	0.285334692087	0.321388387791	0.787664326155	0.871780883416	
1497260569440564368	1497260569.44	0.285334692087	0.321388387791	0.788978706122	0.901604395064	
1497260569539900296	1497260569.54	0.285334692087	0.321388387791	0.793280199118	0.934746978898	
1497260569643757509	1497260569.64	"1/0"	"1/0"	0.808725792196	0.988420199192	
1497260569744502535	1497260569.74	"1/0"	"1/0"	0.813028854317	1.03991449623	
1497260569846576859	1497260569.85	"1/0"	"1/0"	0.815425528804	1.09444444613	
1497260569943334431	1497260569.94	"1/0"	"1/0"	0.814003936443	1.14939357122	
1497260570045608667	1497260570.05	"1/0"	"1/0"	0.811461926756	1.20104291942	
1497260570146237250	1497260570.15	"1/0"	"1/0"	0.807649968364	1.24448931096	
1497260570242872441	1497260570.24	"1/0"	"1/0"	0.79889373283	1.28914762073	
1497260570342668325	1497260570.34	"1/0"	"1/0"	0.789539616881	1.33519093767	
1497260570443215167	1497260570.44	"1/0"	"1/0"	0.781521792233	1.38734486354	
1497260570543036049	1497260570.54	"1/0"	"1/0"	0.773707255064	1.44299873571	
1497260570647267985	1497260570.65	"1/0"	"1/0"	0.767746312548	1.49889278369	
1497260570745947027	1497260570.75	"1/0"	"1/0"	0.765592604255	1.55176840443	
1497260570841794059	1497260570.84	"1/0"	"1/0"	0.770168476036	1.59207833071	
1497260570942522098	1497260570.94	"1/0"	"1/0"	0.77576806759	1.63063291691	
1497260571046899781	1497260571.05	"1/0"	"1/0"	0.785091206762	1.67065278162	
1497260571143019145	1497260571.14	"1/0"	"1/0"	0.79265841794	1.71594458832	
1497260571243846784	1497260571.24	"1/0"	"1/0"	0.802666009983	1.76619387193	
1497260571345697825	1497260571.35	"1/0"	"1/0"	0.810187053179	1.82003921291	
1497260571442351974	1497260571.44	"1/0"	"1/0"	0.81626747542	1.87497532605	
1497260571541489292	1497260571.54	"1/0"	"1/0"	0.821755947962	1.924732474	
1497260571644370311	1497260571.64	"1/0"	"1/0"	0.827337478345	1.96675006322	
1497260571746810109	1497260571.75	"1/0"	"1/0"	0.828597523	2.00414691215	
1497260571848079544	1497260571.85	"1/0"	"1/0"	0.825193319199	2.04967186104	
1497260571948874844	1497260571.95	"1/0"	"1/0"	0.825921829655	2.1032667065	
1497260572049392187	1497260572.05	"1/0"	"1/0"	0.824961938351	2.16379288171	
1497260572146377179	1497260572.15	"1/0"	"1/0"	0.825504322304	2.22889099571	
1497260572250099455	1497260572.25	"1/0"	"1/0"	0.825943246796	2.29111992654	
1497260572347842607	1497260572.35	"1/0"	"1/0"	0.828360298825	2.34319723619	
1497260572447016959	1497260572.45	"1/0"	"1/0"	0.83204711722	2.38488628372	
1497260572545996473	1497260572.55	"1/0"	"1/0"	0.834459548015	2.42509157321	
1497260572649099547	1497260572.65	"1/0"	"1/0"	0.840435208304	2.46414131252	
1497260572745752701	1497260572.75	"1/0"	"1/0"	0.844558895387	2.50417144304	
1497260572844910743	1497260572.84	"1/0"	"1/0"	0.844256901202	2.54143857299	
1497260572943725032	1497260572.94	"1/0"	"1/0"	0.838885449949	2.57124956952	
1497260573046061053	1497260573.05	"1/0"	"1/0"	0.829504702905	2.59387133388	
1497260573149770639	1497260573.15	"1/0"	"1/0"	0.817466678586	2.61156272486	
1497260573249976686	1497260573.25	"1/0"	"1/0"	0.798143880304	2.62634092787	
1497260573346985387	1497260573.35	"1/0"	"1/0"	0.764908915337	2.64752162167	
1497260573445217121	1497260573.45	"1/0"	"1/0"	0.748405514854	2.65538527004	
1497260573544619332	1497260573.54	"1/0"	"1/0"	0.73409625851	2.66065309426	
1497260573649625733	1497260573.65	"1/0"	"1/0"	0.722103016789	2.66680553047	
1497260573751910121	1497260573.75	"1/0"	"1/0"	0.605025660327	2.74593791781	
1497260573848727762	1497260573.85	"1/0"	"1/0"	0.561220836229	2.776725609	
1497260573950990091	1497260573.95	"1/0"	"1/0"	0.522566883524	2.80794407359	
1497260574051068940	1497260574.05	"1/0"	"1/0"	0.473992516435	2.84061809607	
1497260574150677793	1497260574.15	"1/0"	"1/0"	0.425510702804	2.8671690192	
1497260574246749805	1497260574.25	"1/0"	"1/0"	0.393931160852	2.88757354501	
1497260574352105677	1497260574.35	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260574449178985	1497260574.45	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260574550172765	1497260574.55	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260574651303484	1497260574.65	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260574747903511	1497260574.75	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260574847802903	1497260574.85	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260574949703254	1497260574.95	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260575051464884	1497260575.05	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260575148716528	1497260575.15	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260575251098607	1497260575.25	"1/0"	"1/0"	0.36544732936	2.90597783586	
1497260575347555969	1497260575.35	-0.0697621195633	2.50624229631	"1/0"	"1/0"	"1/0"	"1/0"	
1497260575447904846	1497260575.45	-0.0783225544501	2.50928765576	"1/0"	"1/0"	"1/0"	"1/0"	
1497260575546816589	1497260575.55	-0.0861937128703	2.51148656664	"1/0"	"1/0"	"1/0"	"1/0"	
1497260575649244374	1497260575.65	-0.0746038447382	2.46807882327	"1/0"	"1/0"	"1/0"	"1/0"	
1497260575749843790	1497260575.75	-0.0834322990651	2.430805008	"1/0"	"1/0"	"1/0"	"1/0"	
1497260575854284303	1497260575.85	-0.0999143775719	2.40499871877	"1/0"	"1/0"	"1/0"	"1/0"	
1497260575953008158	1497260575.95	-0.120613825936	2.38988461447	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576047350607	1497260576.05	-0.13740862418	2.38235175444	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576148618288	1497260576.15	-0.148816836777	2.37183388164	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576253765831	1497260576.25	-0.157643512142	2.3637543254	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576354455933	1497260576.35	-0.160695093785	2.35945199777	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576454809711	1497260576.45	-0.161246814028	2.35886115423	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576551622398	1497260576.55	-0.162095060535	2.35857706661	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576652488572	1497260576.65	-0.163631667286	2.3585107343	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576753197973	1497260576.75	-0.165564932386	2.35737896217	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576850094221	1497260576.85	-0.169715955088	2.35413029699	"1/0"	"1/0"	"1/0"	"1/0"	
1497260576951789299	1497260576.95	-0.179819939326	2.34416752368	"1/0"	"1/0"	"1/0"	"1/0"	
1497260577055759739	1497260577.06	-0.191349386739	2.32690181095	"1/0"	"1/0"	"1/0"	"1/0"	
1497260577152136384	1497260577.15	-0.198876306004	2.29651821343	"1/0"	"1/0"	"1/0"	"1/0"	
1497260577251949164	1497260577.25	-0.20811851643	2.26135555552	"1/0"	"1/0"	"1/0"	"1/0"	
1497260577353188729	1497260577.35	-0.222304056133	2.22568456907	"1/0"	"1/0"	"1/0"	"1/0"	
