1497261349454622529	1497261349.45	0.871473390293	0.513759459654	
1497261349556373712	1497261349.56	0.871813299601	0.569830884891	
1497261349655564545	1497261349.66	0.871646711092	0.622142828024	
1497261349755877133	1497261349.76	0.866785394516	0.674999801247	
1497261349854818006	1497261349.85	0.863358857415	0.734430522089	
1497261349957179090	1497261349.96	0.860215505978	0.795660441041	
1497261350057292783	1497261350.06	0.862933846541	0.856026884498	
1497261350156782819	1497261350.16	0.863086736337	0.890090828726	
1497261350257170558	1497261350.26	0.864098551658	0.919730410812	
1497261350358792900	1497261350.36	"1/0"	"1/0"	0.869642372787	0.956070385741	
1497261350458062363	1497261350.46	"1/0"	"1/0"	0.897648110706	1.04036182732	
1497261350558605113	1497261350.56	"1/0"	"1/0"	0.913771005704	1.10178384097	
1497261350660011028	1497261350.66	"1/0"	"1/0"	0.927003121824	1.16222155167	
1497261350759290046	1497261350.76	"1/0"	"1/0"	0.936246086224	1.22350958767	
1497261350859915994	1497261350.86	"1/0"	"1/0"	0.943354997965	1.27890269833	
1497261350958289383	1497261350.96	"1/0"	"1/0"	0.947203068746	1.32928726298	
1497261351059742223	1497261351.06	"1/0"	"1/0"	0.947203160311	1.38521659339	
1497261351159958852	1497261351.16	"1/0"	"1/0"	0.948666542914	1.44806638116	
1497261351259372839	1497261351.26	"1/0"	"1/0"	0.950028629303	1.50925431104	
1497261351360159245	1497261351.36	"1/0"	"1/0"	0.953800692865	1.57448460127	
1497261351468695127	1497261351.47	"1/0"	"1/0"	0.95487554028	1.6081167601	
1497261351563690766	1497261351.56	"1/0"	"1/0"	0.956648597558	1.64098089779	
1497261351662977046	1497261351.66	"1/0"	"1/0"	0.961508372706	1.67851277794	
1497261351760724675	1497261351.76	"1/0"	"1/0"	0.969071306	1.72616466566	
1497261351860799464	1497261351.86	"1/0"	"1/0"	0.969071306	1.72616466566	0.988245869931	1.84227078104	
1497261351959877247	1497261351.96	"1/0"	"1/0"	0.969071306	1.72616466566	0.994630314356	1.89918993561	
1497261352062344059	1497261352.06	"1/0"	"1/0"	0.969071306	1.72616466566	0.991610073296	1.95642384335	
1497261352161804462	1497261352.16	"1/0"	"1/0"	0.969071306	1.72616466566	0.987981717758	2.00903006793	
1497261352260571583	1497261352.26	"1/0"	"1/0"	0.969071306	1.72616466566	0.982102508426	2.05447792507	
1497261352362875260	1497261352.36	"1/0"	"1/0"	0.969071306	1.72616466566	0.963210228913	2.10155811734	
1497261352463202302	1497261352.46	"1/0"	"1/0"	0.969071306	1.72616466566	0.93860334858	2.15799515438	
1497261352563013558	1497261352.56	"1/0"	"1/0"	0.969071306	1.72616466566	0.910867385441	2.2159430758	
1497261352662769704	1497261352.66	"1/0"	"1/0"	0.969071306	1.72616466566	0.896455137311	2.24228430835	
1497261352763275818	1497261352.76	"1/0"	"1/0"	"1/0"	"1/0"	0.884869810446	2.26495660855	
1497261352864272475	1497261352.86	"1/0"	"1/0"	"1/0"	"1/0"	0.809775966289	2.36033951994	
1497261352964005304	1497261352.96	"1/0"	"1/0"	"1/0"	"1/0"	0.76718293654	2.40298517513	
1497261353065698480	1497261353.07	"1/0"	"1/0"	"1/0"	"1/0"	0.733262615862	2.43919155059	
1497261353164282039	1497261353.16	"1/0"	"1/0"	"1/0"	"1/0"	0.696018508065	2.48086772866	
1497261353266063488	1497261353.27	"1/0"	"1/0"	"1/0"	"1/0"	0.647952825336	2.52566202749	
1497261353366091447	1497261353.37	"1/0"	"1/0"	"1/0"	"1/0"	0.59409643201	2.57053434312	
1497261353465223039	1497261353.47	"1/0"	"1/0"	"1/0"	"1/0"	0.556084939224	2.56618867961	
1497261353565522457	1497261353.57	"1/0"	"1/0"	"1/0"	"1/0"	0.511292953041	2.58267655204	
1497261353666754927	1497261353.67	"1/0"	"1/0"	"1/0"	"1/0"	0.471381421094	2.59848424649	
1497261353766365518	1497261353.77	"1/0"	"1/0"	"1/0"	"1/0"	0.428254155254	2.60694856972	
1497261353867200940	1497261353.87	"1/0"	"1/0"	"1/0"	"1/0"	0.376051832979	2.61516400741	
1497261353966017186	1497261353.97	"1/0"	"1/0"	"1/0"	"1/0"	0.348609593684	2.61747114271	
1497261354066284639	1497261354.07	"1/0"	"1/0"	"1/0"	"1/0"	0.327331569483	2.61936470487	
1497261354166815343	1497261354.17	"1/0"	"1/0"	"1/0"	"1/0"	0.207042906877	2.64588777784	
1497261354267541239	1497261354.27	"1/0"	"1/0"	"1/0"	"1/0"	0.141304941812	2.65790602294	
1497261354367625478	1497261354.37	"1/0"	"1/0"	"1/0"	"1/0"	0.0875804740777	2.66752805654	
1497261354468454650	1497261354.47	"1/0"	"1/0"	"1/0"	"1/0"	0.0409953289064	2.6730780292	
1497261354570385054	1497261354.57	"1/0"	"1/0"	"1/0"	"1/0"	-0.00342928073223	2.68293040531	
1497261354669590439	1497261354.67	"1/0"	"1/0"	"1/0"	"1/0"	-0.0590134655793	2.68605279367	
1497261354768197009	1497261354.77	"1/0"	"1/0"	"1/0"	"1/0"	-0.125261403124	2.69011852839	
1497261354868640631	1497261354.87	"1/0"	"1/0"	"1/0"	"1/0"	-0.197349616818	2.69178524839	
1497261354967397822	1497261354.97	"1/0"	"1/0"	"1/0"	"1/0"	-0.268677484349	2.68955890147	
1497261355068144177	1497261355.07	"1/0"	"1/0"	"1/0"	"1/0"	-0.282260267882	2.66974084315	
1497261355169244341	1497261355.17	"1/0"	"1/0"	"1/0"	"1/0"	-0.325551985475	2.65661702669	
