1496663504612394529 1496663504.61 1.26113 3.06393
1496663504716770269 1496663504.72 1.29457 3.12985
1496663504797123941 1496663504.8 1.30512 3.14889
1496663504916506269 1496663504.92 1.31955 3.19857
1496663505020444175 1496663505.02 1.32905 3.24827
1496663505101647863 1496663505.1 1.33505 3.30221
1496663505220826260 1496663505.22 1.32663 3.34986
1496663505326266810 1496663505.33 1.30031 3.37728
1496663505405578215 1496663505.41 1.28785 3.39346
1496663505525893687 1496663505.53 1.27322 3.41734
1496663505621068192 1496663505.62 1.2593 3.43222
1496663505700765792 1496663505.7 1.25555 3.43592 1.19258 3.53891
1496663505820714223 1496663505.82 1.25555 3.43592 1.17234 3.5462
1496663505921501174 1496663505.92 1.25555 3.43592 1.1487 3.59367
1496663506001527639 1496663506.0 1.25555 3.43592 1.13371 3.60356
1496663506119960935 1496663506.12 1.25555 3.43592 1.1045 3.61681
1496663506220925849 1496663506.22 1.25555 3.43592 1.03813 3.64751
1496663506301712063 1496663506.3 1.25555 3.43592 0.97639 3.67791
1496663506420264043 1496663506.42 1.25555 3.43592 0.921227 3.68799
1496663506521255995 1496663506.52 1.25555 3.43592 0.878316 3.68396
1496663506600971116 1496663506.6 1.25555 3.43592 0.831206 3.70318
1496663506720053122 1496663506.72 "1/0" "1/0" 0.79457 3.67894
1496663506821410572 1496663506.82 "1/0" "1/0" 0.759435 3.66392
1496663506901211772 1496663506.9 "1/0" "1/0" 0.739458 3.6637
1496663507020408485 1496663507.02 "1/0" "1/0" 0.673198 3.70403
1496663507121120453 1496663507.12 "1/0" "1/0" 0.647598 3.70858
1496663507205149527 1496663507.21 "1/0" "1/0" 0.587763 3.72405
1496663507302376798 1496663507.3 "1/0" "1/0" 0.549698 3.72922
1496663507424723337 1496663507.42 "1/0" "1/0" 0.515044 3.72494
1496663507504509121 1496663507.5 "1/0" "1/0" 0.491199 3.72331
1496663507628252812 1496663507.63 "1/0" "1/0" 0.324061 3.74724
1496663507733877277 1496663507.73 "1/0" "1/0" 0.230985 3.74856
1496663507816310510 1496663507.82 "1/0" "1/0" 0.206266 3.75228
1496663507895634201 1496663507.9 "1/0" "1/0" 0.13882 3.75184
1496663508028335046 1496663508.03 "1/0" "1/0" 0.0798019 3.75407
1496663508108623400 1496663508.11 "1/0" "1/0" 0.0507584 3.74749
1496663508230327186 1496663508.23 "1/0" "1/0" -0.0487454 3.74155
1496663508330121797 1496663508.33 "1/0" "1/0" -0.126786 3.74063
1496663508409296757 1496663508.41 "1/0" "1/0" -0.159749 3.74232
1496663508528492040 1496663508.53 "1/0" "1/0" -0.206303 3.74794
1496663508625936278 1496663508.63 "1/0" "1/0" -0.234636 3.75705
1496663508704908111 1496663508.7 "1/0" "1/0" -0.255983 3.75673
1496663508824544845 1496663508.82 "1/0" "1/0" -0.359178 3.70684
1496663508926911791 1496663508.93 "1/0" "1/0" -0.464737 3.69414
1496663509005356971 1496663509.01 "1/0" "1/0" -0.540885 3.68955
1496663509124724733 1496663509.12 "1/0" "1/0" -0.589302 3.66952
1496663509225017267 1496663509.23 "1/0" "1/0" -0.643989 3.67037
1496663509306342265 1496663509.31 "1/0" "1/0" -0.671841 3.66911
1496663509424910056 1496663509.42 "1/0" "1/0" -0.696287 3.652
1496663509524436732 1496663509.52 "1/0" "1/0" -0.726271 3.63094
1496663509605317048 1496663509.61 "1/0" "1/0" -0.748539 3.62238
1496663509724445760 1496663509.72 "1/0" "1/0" -0.890705 3.66757
1496663509825203931 1496663509.83 "1/0" "1/0" -0.967557 3.6735
1496663509907177169 1496663509.91 "1/0" "1/0" -1.01405 3.66974
1496663510026022720 1496663510.03 "1/0" "1/0" -1.05987 3.67248
1496663510125655334 1496663510.13 "1/0" "1/0" -1.09319 3.68056
1496663510208555195 1496663510.21 "1/0" "1/0" -1.11446 3.6815
1496663510309296668 1496663510.31 "1/0" "1/0" -1.20127 3.66598
1496663510428717265 1496663510.43 "1/0" "1/0" -1.23577 3.6591
1496663510508506419 1496663510.51 "1/0" "1/0" -1.25599 3.65459
1496663510606474431 1496663510.61 "1/0" "1/0" -1.41029 3.58652
1496663510726031824 1496663510.73 "1/0" "1/0" -1.46966 3.54894
1496663510806036406 1496663510.81 "1/0" "1/0" -1.49102 3.53252
1496663510925179747 1496663510.93 "1/0" "1/0" -1.54456 3.51618
1496663511021445219 1496663511.02 "1/0" "1/0" -1.6107 3.48952
1496663511105176819 1496663511.11 "1/0" "1/0" -1.6445 3.4774
1496663511229645950 1496663511.23 "1/0" "1/0" -1.68474 3.44505
1496663511325077464 1496663511.33 "1/0" "1/0" -1.71127 3.41905
1496663511406355723 1496663511.41 "1/0" "1/0" -1.7269 3.39793
1496663511524342013 1496663511.52 "1/0" "1/0" -1.75506 3.37395
1496663511631605483 1496663511.63 "1/0" "1/0" -1.75313 3.27811
1496663511708791504 1496663511.71 "1/0" "1/0" -1.74306 3.22096
1496663511828521293 1496663511.83 "1/0" "1/0" -1.7379 3.1488
1496663511932793636 1496663511.93 "1/0" "1/0" -1.74276 3.11112
1496663512012536014 1496663512.01 "1/0" "1/0" -1.7463 3.09263
1496663512132245599 1496663512.13 "1/0" "1/0" -1.74783 3.05938
1496663512233814793 1496663512.23 "1/0" "1/0" -1.74699 3.02449
1496663512313060684 1496663512.31 "1/0" "1/0" -1.74699 3.02449
1496663512432431433 1496663512.43 "1/0" "1/0" -1.74699 3.02449
1496663512533576415 1496663512.53 "1/0" "1/0" -1.74699 3.02449
1496663512613016503 1496663512.61 "1/0" "1/0" -1.74699 3.02449
1496663512732958575 1496663512.73 "1/0" "1/0" -1.74699 3.02449
1496663512796488620 1496663512.8 "1/0" "1/0" -1.74699 3.02449
1496663512916067909 1496663512.92 "1/0" "1/0" -1.74699 3.02449
1496663512996245330 1496663513.0 "1/0" "1/0" -1.74699 3.02449
1496663513096085956 1496663513.1 "1/0" "1/0" -1.74699 3.02449
