1496663600436991709 1496663600.44 0.891264 2.25263
1496663600517139599 1496663600.52 0.887654 2.27032
1496663600638089300 1496663600.64 0.882795 2.29682
1496663600737945402 1496663600.74 0.872844 2.31703
1496663600817165328 1496663600.82 0.864214 2.3337
1496663600938575598 1496663600.94 0.840595 2.35684
1496663601039367060 1496663601.04 0.823059 2.3794
1496663601117284868 1496663601.12 0.814196 2.3941
1496663601238011620 1496663601.24 0.802062 2.41824
1496663601338771317 1496663601.34 0.799463 2.4249
1496663601417834127 1496663601.42 0.779917 2.57319 0.799463 2.4249
1496663601537818120 1496663601.54 0.777362 2.59341 0.799463 2.4249
1496663601637710039 1496663601.64 0.776557 2.61206 0.799463 2.4249
1496663601716841823 1496663601.72 0.778789 2.6247 0.799463 2.4249
1496663601824956255 1496663601.82 0.898189 2.74019 0.799463 2.4249
1496663601946338461 1496663601.95 0.906482 2.76038 0.799463 2.4249
1496663602025297106 1496663602.03 0.908476 2.78628 0.799463 2.4249
1496663602124780119 1496663602.12 0.900563 2.82329 0.799463 2.4249
1496663602244912428 1496663602.24 0.884541 2.84784 "1/0" "1/0"
1496663602325145210 1496663602.33 0.873116 2.8619 "1/0" "1/0"
1496663602425458016 1496663602.43 0.854594 2.88813 "1/0" "1/0"
1496663602547079811 1496663602.55 0.841312 2.912 "1/0" "1/0"
1496663602625937890 1496663602.63 0.83407 2.92561 "1/0" "1/0"
1496663602724550746 1496663602.72 0.828123 2.94357 "1/0" "1/0"
1496663602845164772 1496663602.85 0.828123 2.94357 "1/0" "1/0"
1496663602924374579 1496663602.92 0.828123 2.94357 "1/0" "1/0"
1496663603025864484 1496663603.03 0.828123 2.94357 "1/0" "1/0" 0.898909 3.18287
1496663603144446009 1496663603.14 0.828123 2.94357 "1/0" "1/0" 0.879315 3.20604
1496663603226520961 1496663603.23 0.828123 2.94357 "1/0" "1/0" 0.867477 3.21342
1496663603325250779 1496663603.33 0.828123 2.94357 "1/0" "1/0" 0.876684 3.26075
1496663603444696410 1496663603.44 0.828123 2.94357 "1/0" "1/0" 0.868328 3.28494
1496663603524733332 1496663603.52 0.828123 2.94357 "1/0" "1/0" 0.866109 3.30866
1496663603625021863 1496663603.63 0.828123 2.94357 "1/0" "1/0" 0.851613 3.33634
1496663603745373898 1496663603.75 "1/0" "1/0" "1/0" "1/0" 0.84714 3.39311
1496663603824670617 1496663603.82 "1/0" "1/0" "1/0" "1/0" 0.84195 3.42393
1496663603925092727 1496663603.93 "1/0" "1/0" "1/0" "1/0" 0.834812 3.46997
1496663604044771124 1496663604.04 "1/0" "1/0" "1/0" "1/0" 0.815627 3.49464
1496663604124533758 1496663604.12 "1/0" "1/0" "1/0" "1/0" 0.822693 3.52484
1496663604225268384 1496663604.23 "1/0" "1/0" "1/0" "1/0" 0.82147 3.56082
1496663604345014710 1496663604.35 "1/0" "1/0" "1/0" "1/0" 0.826013 3.58839
1496663604424157549 1496663604.42 "1/0" "1/0" "1/0" "1/0" 0.844722 3.61976
1496663604521313594 1496663604.52 "1/0" "1/0" "1/0" "1/0" 0.869401 3.67002
1496663604644699416 1496663604.64 "1/0" "1/0" "1/0" "1/0" 0.876863 3.69927
1496663604724642545 1496663604.72 "1/0" "1/0" "1/0" "1/0" 0.882676 3.72317
1496663604821718968 1496663604.82 "1/0" "1/0" "1/0" "1/0" 0.88264 3.74598
1496663604946695089 1496663604.95 "1/0" "1/0" "1/0" "1/0" 0.874543 3.77299
1496663605025193583 1496663605.03 "1/0" "1/0" "1/0" "1/0" 0.86567 3.78846
1496663605129129552 1496663605.13 "1/0" "1/0" "1/0" "1/0" 0.839162 3.81454
1496663605208757702 1496663605.21 "1/0" "1/0" "1/0" "1/0" 0.816266 3.8295
1496663605331015590 1496663605.33 "1/0" "1/0" "1/0" "1/0" 0.784903 3.85199
1496663605429480378 1496663605.43 "1/0" "1/0" "1/0" "1/0" 0.745933 3.86728
1496663605509318077 1496663605.51 "1/0" "1/0" "1/0" "1/0" 0.737773 3.87388
1496663605629430344 1496663605.63 "1/0" "1/0" "1/0" "1/0" 0.709904 3.88424
1496663605730846282 1496663605.73 "1/0" "1/0" "1/0" "1/0" 0.690651 3.89493
1496663605809913903 1496663605.81 "1/0" "1/0" "1/0" "1/0" 0.68115 3.89536
1496663605928991462 1496663605.93 "1/0" "1/0" "1/0" "1/0" 0.661983 3.89801
1496663606029328202 1496663606.03 "1/0" "1/0" "1/0" "1/0" 0.628164 3.89906
1496663606109606455 1496663606.11 "1/0" "1/0" "1/0" "1/0" 0.608377 3.90074
1496663606229618694 1496663606.23 "1/0" "1/0" "1/0" "1/0" 0.574436 3.90087
1496663606329554761 1496663606.33 "1/0" "1/0" "1/0" "1/0" 0.526823 3.89976
1496663606409045255 1496663606.41 "1/0" "1/0" "1/0" "1/0" 0.498863 3.89989
1496663606529288877 1496663606.53 "1/0" "1/0" "1/0" "1/0" 0.461314 3.89922
1496663606628628262 1496663606.63 "1/0" "1/0" "1/0" "1/0" 0.43847 3.89256
1496663606709865139 1496663606.71 "1/0" "1/0" "1/0" "1/0" 0.430746 3.89
1496663606830540672 1496663606.83 "1/0" "1/0" "1/0" "1/0" 0.403754 3.88542
1496663606929679299 1496663606.93 "1/0" "1/0" "1/0" "1/0" 0.365891 3.88207
1496663607009326312 1496663607.01 "1/0" "1/0" "1/0" "1/0" 0.345214 3.88062
1496663607129787779 1496663607.13 "1/0" "1/0" "1/0" "1/0" 0.304245 3.87496
1496663607232707839 1496663607.23 "1/0" "1/0" "1/0" "1/0" 0.262557 3.87429
1496663607312912547 1496663607.31 "1/0" "1/0" "1/0" "1/0" 0.23414 3.87469
1496663607432322940 1496663607.43 "1/0" "1/0" "1/0" "1/0" 0.188234 3.86922
1496663607533221584 1496663607.53 "1/0" "1/0" "1/0" "1/0" 0.174702 3.86081
1496663607612474393 1496663607.61 "1/0" "1/0" "1/0" "1/0" 0.173926 3.85801
1496663607732998980 1496663607.73 "1/0" "1/0" "1/0" "1/0" 0.151877 3.84868
1496663607836938365 1496663607.84 "1/0" "1/0" "1/0" "1/0" 0.102908 3.83714
1496663607916788842 1496663607.92 "1/0" "1/0" "1/0" "1/0" 0.072149 3.8303
1496663608037046035 1496663608.04 "1/0" "1/0" "1/0" "1/0" 0.0252561 3.82865
1496663608137967732 1496663608.14 "1/0" "1/0" "1/0" "1/0" -0.0160742 3.82303
1496663608217182706 1496663608.22 "1/0" "1/0" "1/0" "1/0" -0.0424528 3.81851
1496663608337757335 1496663608.34 "1/0" "1/0" "1/0" "1/0" -0.0864086 3.80757
1496663608432787462 1496663608.43 "1/0" "1/0" "1/0" "1/0" -0.12632 3.80523
1496663608512240755 1496663608.51 "1/0" "1/0" "1/0" "1/0" -0.136451 3.80255
1496663608633540416 1496663608.63 "1/0" "1/0" "1/0" "1/0" -0.154911 3.80962
1496663608732844467 1496663608.73 "1/0" "1/0" "1/0" "1/0" -0.186971 3.816
1496663608813101387 1496663608.81 "1/0" "1/0" "1/0" "1/0" -0.204544 3.81882
1496663608932923536 1496663608.93 "1/0" "1/0" "1/0" "1/0" -0.23503 3.82013
1496663609032877129 1496663609.03 "1/0" "1/0" "1/0" "1/0" -0.278357 3.82666
1496663609113496164 1496663609.11 "1/0" "1/0" "1/0" "1/0" -0.305948 3.83205
1496663609232860863 1496663609.23 "1/0" "1/0" "1/0" "1/0" -0.347686 3.83898
1496663609332786807 1496663609.33 "1/0" "1/0" "1/0" "1/0" -0.398787 3.84134
1496663609413302800 1496663609.41 "1/0" "1/0" "1/0" "1/0" -0.428048 3.83962
1496663609533182313 1496663609.53 "1/0" "1/0" "1/0" "1/0" -0.462108 3.84087
1496663609632579824 1496663609.63 "1/0" "1/0" "1/0" "1/0" -0.495437 3.82789
1496663609713894425 1496663609.71 "1/0" "1/0" "1/0" "1/0" -0.513763 3.82428
1496663609833354347 1496663609.83 "1/0" "1/0" "1/0" "1/0" -0.545195 3.82251
1496663609932834338 1496663609.93 "1/0" "1/0" "1/0" "1/0" -0.591831 3.82746
1496663610013481997 1496663610.01 "1/0" "1/0" "1/0" "1/0" -0.617319 3.83057
1496663610132724406 1496663610.13 "1/0" "1/0" "1/0" "1/0" -0.657293 3.83595
1496663610233244608 1496663610.23 "1/0" "1/0" "1/0" "1/0" -0.708711 3.83565
1496663610313471214 1496663610.31 "1/0" "1/0" "1/0" "1/0" -0.739155 3.83507
1496663610434532957 1496663610.43 "1/0" "1/0" "1/0" "1/0" -0.781969 3.83671
1496663610534233735 1496663610.53 "1/0" "1/0" "1/0" "1/0" -0.81073 3.83749
1496663610616723440 1496663610.62 "1/0" "1/0" "1/0" "1/0" -0.831449 3.83675
1496663610739650882 1496663610.74 "1/0" "1/0" "1/0" "1/0" -0.871867 3.8361
1496663610835116342 1496663610.84 "1/0" "1/0" "1/0" "1/0" -0.906784 3.83415
1496663610913506594 1496663610.91 "1/0" "1/0" "1/0" "1/0" -0.929992 3.83374
1496663611036687922 1496663611.04 "1/0" "1/0" "1/0" "1/0" -0.972893 3.82936
1496663611137370029 1496663611.14 "1/0" "1/0" "1/0" "1/0" -1.01484 3.81961
1496663611218404196 1496663611.22 "1/0" "1/0" "1/0" "1/0" -1.03888 3.81407
1496663611337350943 1496663611.34 "1/0" "1/0" "1/0" "1/0" -1.0803 3.80535
1496663611443444057 1496663611.44 "1/0" "1/0" "1/0" "1/0" -1.11162 3.80674
1496663611521035358 1496663611.52 "1/0" "1/0" "1/0" "1/0" -1.12495 3.79604
1496663611640848331 1496663611.64 "1/0" "1/0" "1/0" "1/0" -1.14895 3.78314
1496663611741286809 1496663611.74 "1/0" "1/0" "1/0" "1/0" -1.16892 3.77212
1496663611821454142 1496663611.82 "1/0" "1/0" "1/0" "1/0" -1.18399 3.77
1496663611940528471 1496663611.94 "1/0" "1/0" "1/0" "1/0" -1.2127 3.76804
1496663612041856246 1496663612.04 "1/0" "1/0" "1/0" "1/0" -1.24156 3.75982
1496663612120944457 1496663612.12 "1/0" "1/0" "1/0" "1/0" -1.26053 3.75421
1496663612244007811 1496663612.24 "1/0" "1/0" "1/0" "1/0" -1.29536 3.73499
