1496663600436991709	1496663600.44	0.691263840541	2.25262978221	
1496663600517139599	1496663600.52	0.687654486321	2.2703246563	
1496663600638089300	1496663600.64	0.682794850787	2.2968248958	
1496663600737945402	1496663600.74	0.672844150779	2.31703219434	
1496663600817165328	1496663600.82	0.66421447064	2.33370307494	
1496663600938575598	1496663600.94	0.640595441531	2.35683677807	
1496663601039367060	1496663601.04	0.623058766937	2.37940074392	
1496663601117284868	1496663601.12	0.61419599745	2.39409966801	
1496663601238011620	1496663601.24	0.602062200639	2.41824301483	
1496663601338771317	1496663601.34	0.599463152642	2.42489959835	
1496663601417834127	1496663601.42	0.57991722241	2.57319200977	0.599463152642	2.42489959835	
1496663601537818120	1496663601.54	0.577361941181	2.59340625852	0.599463152642	2.42489959835	
1496663601637710039	1496663601.64	0.576556916897	2.61206474227	0.599463152642	2.42489959835	
1496663601716841823	1496663601.72	0.578789135966	2.62469911331	0.599463152642	2.42489959835	
1496663601824956255	1496663601.82	0.69818926176	2.74018745925	0.599463152642	2.42489959835	
1496663601946338461	1496663601.95	0.706482071126	2.76038131613	0.599463152642	2.42489959835	
1496663602025297106	1496663602.03	0.708476117744	2.78627576649	0.599463152642	2.42489959835	
1496663602124780119	1496663602.12	0.700562501351	2.82329354151	0.599463152642	2.42489959835	
1496663602244912428	1496663602.24	0.684540742295	2.84783637744	"1/0"	"1/0"	
1496663602325145210	1496663602.33	0.673116446206	2.86190391065	"1/0"	"1/0"	
1496663602425458016	1496663602.43	0.654594312252	2.88812983399	"1/0"	"1/0"	
1496663602547079811	1496663602.55	0.641311858553	2.91199555474	"1/0"	"1/0"	
1496663602625937890	1496663602.63	0.634069978849	2.9256147975	"1/0"	"1/0"	
1496663602724550746	1496663602.72	0.628123324959	2.94357401332	"1/0"	"1/0"	
1496663602845164772	1496663602.85	0.628123324959	2.94357401332	"1/0"	"1/0"	
1496663602924374579	1496663602.92	0.628123324959	2.94357401332	"1/0"	"1/0"	
1496663603025864484	1496663603.03	0.628123324959	2.94357401332	"1/0"	"1/0"	0.698909241979	3.18286775994	
1496663603144446009	1496663603.14	0.628123324959	2.94357401332	"1/0"	"1/0"	0.679314742839	3.20604150743	
1496663603226520961	1496663603.23	0.628123324959	2.94357401332	"1/0"	"1/0"	0.66747701958	3.21341950148	
1496663603325250779	1496663603.33	0.628123324959	2.94357401332	"1/0"	"1/0"	0.676683548371	3.26075109028	
1496663603444696410	1496663603.44	0.628123324959	2.94357401332	"1/0"	"1/0"	0.668328459093	3.28494265793	
1496663603524733332	1496663603.52	0.628123324959	2.94357401332	"1/0"	"1/0"	0.666108721287	3.3086627501	
1496663603625021863	1496663603.63	0.628123324959	2.94357401332	"1/0"	"1/0"	0.651612559069	3.33634441778	
1496663603745373898	1496663603.75	"1/0"	"1/0"	"1/0"	"1/0"	0.647140193178	3.39311307582	
1496663603824670617	1496663603.82	"1/0"	"1/0"	"1/0"	"1/0"	0.641949750094	3.42393200676	
1496663603925092727	1496663603.93	"1/0"	"1/0"	"1/0"	"1/0"	0.634811797983	3.46996915474	
1496663604044771124	1496663604.04	"1/0"	"1/0"	"1/0"	"1/0"	0.615626692485	3.49463672155	
1496663604124533758	1496663604.12	"1/0"	"1/0"	"1/0"	"1/0"	0.622692647332	3.52484184976	
1496663604225268384	1496663604.23	"1/0"	"1/0"	"1/0"	"1/0"	0.621470164841	3.56082046938	
1496663604345014710	1496663604.35	"1/0"	"1/0"	"1/0"	"1/0"	0.626012671938	3.58838613505	
1496663604424157549	1496663604.42	"1/0"	"1/0"	"1/0"	"1/0"	0.644721738949	3.6197643572	
1496663604521313594	1496663604.52	"1/0"	"1/0"	"1/0"	"1/0"	0.669401249456	3.67001786269	
1496663604644699416	1496663604.64	"1/0"	"1/0"	"1/0"	"1/0"	0.676863286662	3.69927098728	
1496663604724642545	1496663604.72	"1/0"	"1/0"	"1/0"	"1/0"	0.682675553448	3.72316556747	
1496663604821718968	1496663604.82	"1/0"	"1/0"	"1/0"	"1/0"	0.682639776572	3.7459815414	
1496663604946695089	1496663604.95	"1/0"	"1/0"	"1/0"	"1/0"	0.674543355833	3.77299137214	
1496663605025193583	1496663605.03	"1/0"	"1/0"	"1/0"	"1/0"	0.665669627238	3.78845986079	
1496663605129129552	1496663605.13	"1/0"	"1/0"	"1/0"	"1/0"	0.639161662319	3.81454058678	
1496663605208757702	1496663605.21	"1/0"	"1/0"	"1/0"	"1/0"	0.616265928845	3.829497805	
1496663605331015590	1496663605.33	"1/0"	"1/0"	"1/0"	"1/0"	0.584903319175	3.85198734324	
1496663605429480378	1496663605.43	"1/0"	"1/0"	"1/0"	"1/0"	0.545933060078	3.86727795404	
1496663605509318077	1496663605.51	"1/0"	"1/0"	"1/0"	"1/0"	0.537772660368	3.87388352161	
1496663605629430344	1496663605.63	"1/0"	"1/0"	"1/0"	"1/0"	0.509903660927	3.884242909	
1496663605730846282	1496663605.73	"1/0"	"1/0"	"1/0"	"1/0"	0.490650642621	3.89492695656	
1496663605809913903	1496663605.81	"1/0"	"1/0"	"1/0"	"1/0"	0.481150309398	3.89535618918	
1496663605928991462	1496663605.93	"1/0"	"1/0"	"1/0"	"1/0"	0.461983493201	3.89801083142	
